month,tags,docs
2010-01,1254,5799
2010-02,1223,5784
2010-03,1326,6299
2010-04,1235,5645
2010-05,1288,6169
2010-06,1342,6698
2010-07,1436,7653
2010-08,1395,7372
2010-09,1368,6837
2010-10,1481,7866
2010-11,1455,7892
2010-12,1453,7467
2011-01,1658,9114
2011-02,1627,9153
2011-03,1828,11326
2011-04,1759,10029
2011-05,1910,10815
2011-06,1863,10663
2011-07,1877,11236
2011-08,1908,11622
2011-09,1822,10638
2011-10,1787,10905
2011-11,1836,11535
2011-12,1848,10853
2012-01,2031,12710
2012-02,2110,13614
2012-03,2166,15193
2012-04,2131,14843
2012-05,2200,15296
2012-06,2164,15995
2012-07,2295,17468
2012-08,2286,17798
2012-09,2248,15863
2012-10,2406,18379
2012-11,2446,19156
2012-12,2332,17345
2013-01,2481,19997
2013-02,2503,20460
2013-03,2691,23298
2013-04,2699,24366
2013-05,2752,23893
2013-06,2689,23600
2013-07,2783,26512
2013-08,2741,24732
2013-09,2724,24757
2013-10,2927,28981
2013-11,3025,29691
2013-12,2735,26216
2014-01,3076,30807
2014-02,3030,30986
2014-03,3270,35331
2014-04,3182,33185
2014-05,2925,29115
2014-06,2932,27941
2014-07,3027,31303
2014-08,2939,28688
2014-09,2839,27436
2014-10,3055,30057
2014-11,2995,29878
2014-12,3032,28717
2015-01,3072,30861
2015-02,3266,32024
2015-03,3354,36457
2015-04,3361,36050
2015-05,3334,35287
2015-06,3428,37290
2015-07,3393,39415
2015-08,3343,35895
2015-09,3356,34502
2015-10,3425,39030
2015-11,3455,38976
2015-12,3287,36700
2016-01,3425,39501
2016-02,3658,41843
2016-03,3724,44463
2016-04,3660,43423
2016-05,3661,42451
2016-06,3621,41897
2016-07,3616,41307
2016-08,3601,42026
2016-09,3618,39577
2016-10,3646,42933
2016-11,3767,45451
2016-12,3588,42201
2017-01,3825,46297
2017-02,3776,47478
2017-03,4173,55498
2017-04,3951,50597
2017-05,4066,52271
2017-06,4029,52258
2017-07,4167,55038
2017-08,4074,54388
2017-09,3822,50123
2017-10,4028,54670
2017-11,4162,55383
2017-12,4001,49218
2018-01,4110,53106
2018-02,4150,53593
2018-03,4304,58983
2018-04,4112,56013
2018-05,4193,57792
2018-06,4197,55749
2018-07,4371,59906
2018-08,4291,58871
2018-09,3904,52359
2018-10,4205,59074
2018-11,4178,58581
2018-12,3939,51763
2019-01,4191,55570
2019-02,4248,57541
2019-03,4870,72196
2019-04,4740,71381
2019-05,4677,69377
2019-06,4521,63603
2019-07,4860,73750
2019-08,4615,66566
2019-09,4495,62166
2019-10,4879,76478
2019-11,5031,77758
2019-12,4841,69462
