,SV_0,SV_1,SV_2,SV_3,SV_4,SV_5,SV_6,SV_7,SV_8,SV_9,SV_10,year
0,"('python', 0.99432186825252)","('django', 0.9880502727972346)","('google-app-engine', 0.9983521456884213)","('list', 0.9404912139592991)","('regex', 0.8422019001640483)","('windows', 0.9468382283905605)","('string', 0.8414716392402274)","('numpy', 0.9197656768502352)","('linux', 0.9203082297963451)","('c++', 0.7236020290010179)","('dictionary', 0.8368833996145877)",2010
1,"('django', 0.09502222831040226)","('django-models', 0.09197634930570638)","('java', 0.01626788055843507)","('string', 0.23675708043652466)","('string', 0.47361842801426857)","('linux', 0.25072623595925864)","('unicode', 0.04805332328130885)","('scipy', 0.29572491535915224)","('c++', 0.2060646530237058)","('dictionary', 0.49774876656822614)","('linux', 0.11434801291981615)",2010
2,"('google-app-engine', 0.02812175927547359)","('google-app-engine', 0.0376788040989395)","('javascript', 0.014799814669461364)","('dictionary', 0.19079633821221187)","('parsing', 0.059579081666052955)","('tkinter', 0.13700043699912462)","('numpy', 0.03903578701139265)","('arrays', 0.18064586059625695)","('java', 0.10683352370442942)","('java', 0.33391647880817465)","('python-3.x', 0.044404343715315014)",2010
3,"('list', 0.01179943689633441)","('django-templates', 0.03135525514616473)","('html', 0.008156940627074232)","('regex', 0.1300521716350535)","('html', 0.05149888942503548)","('macos', 0.06537903580911646)","('python-3.x', 0.030059921818024218)","('matplotlib', 0.14158316980262114)","('multithreading', 0.10027700156632198)","('multithreading', 0.10407101496293011)","('mysql', 0.040822356349634686)",2010
4,"('regex', 0.01008578689880376)","('django-forms', 0.03135023823996226)","('json', 0.007976159267106256)","('performance', 0.04302965965728816)","('unicode', 0.049333673322704)","('c++', 0.049182295128127884)","('c++', 0.02460734518792576)","('c++', 0.06241982028151216)","('macos', 0.07752333265639742)","('php', 0.09384295740933292)","('sqlalchemy', 0.021873031346587413)",2010
5,"('string', 0.009372935696909647)","('django-admin', 0.03072564110508504)","('django-templates', 0.006965934847366036)","('arrays', 0.03100447821046266)","('java', 0.020725331866791992)","('user-interface', 0.04381813840698401)","('file', 0.017292870059700934)","('performance', 0.04730747866592864)","('pygtk', 0.03647292284421664)","('c#', 0.07244555075261713)","('database', 0.02015499996911819)",2010
6,"('windows', 0.008815087091568958)","('mysql', 0.018813493934485018)","('xml', 0.005688175224661086)","('algorithm', 0.025704907917178017)","('python-3.x', 0.020446918083254672)","('multithreading', 0.042856985302176555)","('scipy', 0.014131163927714126)","('regex', 0.031040056366361278)","('php', 0.03634886360791452)","('mysql', 0.04929014322678826)","('json', 0.015723421654386394)",2010
7,"('django-models', 0.008167245378071694)","('apache', 0.016559606410551764)","('database', 0.004982098761432223)","('file', 0.02348135253309251)","('xml', 0.01846059781921336)","('wxpython', 0.04052231225887961)","('mysql', 0.011787167889249201)","('java', 0.029612836579175947)","('gtk', 0.028337905793522206)","('wxpython', 0.04397550195906921)","('csv', 0.015100422700528193)",2010
8,"('linux', 0.007837008791831055)","('database', 0.014140283558559164)","('datetime', 0.004962514886620981)","('parsing', 0.018186324565027504)","('php', 0.01651617298892256)","('python-3.x', 0.03482451436986651)","('java', 0.010855825089961989)","('dictionary', 0.024948464127397707)","('mysql', 0.027812927640627105)","('performance', 0.040352782814811694)","('sqlite', 0.014438305399922705)",2010
9,"('numpy', 0.007668774505183252)","('javascript', 0.01266705834973124)","('performance', 0.004769700228919246)","('python-3.x', 0.0174896775798128)","('javascript', 0.015864896787609627)","('subprocess', 0.03405738506686512)","('arrays', 0.009222211310417967)","('algorithm', 0.017073472901216573)","('sockets', 0.025949006285253186)","('ruby', 0.034456526945010335)","('numpy', 0.011831954606524364)",2010
10,"('dictionary', 0.007401452620949639)","('sql', 0.010969374251649977)","('image', 0.004669298675488053)","('unicode', 0.014449028570266786)","('mysql', 0.013042849778947874)","('java', 0.03400006400529877)","('image', 0.006337664130711397)","('macos', 0.016409821829474612)","('dictionary', 0.023604608043918285)","('pyqt', 0.031909412517056444)","('class', 0.010325974231404939)",2010
11,"('c++', 0.0070220249357107085)","('unit-testing', 0.010929720953361135)","('logging', 0.004373234867511814)","('numpy', 0.012195100989935955)","('ruby', 0.012952993531077983)","('numpy', 0.0314904757824202)","('matplotlib', 0.005973447958377844)","('csv', 0.015308836706799639)","('pyqt', 0.022454989101820148)","('qt', 0.03168386599251099)","('windows', 0.009116784396931421)",2010
12,"('java', 0.006432003285373166)","('html', 0.0100517248910197)","('http', 0.00392813352673874)","('function', 0.010052474507849228)","('c++', 0.00938343302772246)","('pygtk', 0.02695530244582202)","('database', 0.005777171493740504)","('python-imaging-library', 0.01224900913381426)","('c#', 0.022133748833300895)","('javascript', 0.03006700322238625)","('sql', 0.008358154864713259)",2010
13,"('multithreading', 0.006356047893606589)","('json', 0.0075095192868071935)","('import', 0.0037126601610462415)","('csv', 0.009512558475025565)","('lxml', 0.008684755206253562)","('unicode', 0.025695932082153997)","('performance', 0.0057325863523629336)","('image', 0.0064163735662696245)","('wxpython', 0.018806742660677743)","('xml', 0.029097444535334624)","('regex', 0.007704666021022674)",2010
14,"('wxpython', 0.006271932454583547)","('unicode', 0.00487263334999766)","('unit-testing', 0.0035789553466370524)","('class', 0.008103761441045992)","('file', 0.0074598796470492475)","('pyqt', 0.02199654889984483)","('algorithm', 0.004923754387637653)","('parsing', 0.006335858808625598)","('performance', 0.01785076678177162)","('database', 0.02732695515103859)","('xml', 0.007252071015699527)",2010
15,"('mysql', 0.005927660483655567)","('logging', 0.00418153179702609)","('urllib2', 0.00287402953515557)","('html', 0.007620072156030204)","('c#', 0.007400586854298619)","('gtk', 0.020541580324667557)","('wxpython', 0.004837937774498777)","('wxpython', 0.006322249880475233)","('qt', 0.015764139528554474)","('parsing', 0.023449843349694813)","('parsing', 0.005876249838807517)",2010
16,"('tkinter', 0.005712142994072639)","('datetime', 0.0036343155087684765)","('regex', 0.002511705672682656)","('mysql', 0.007094075839311761)","('database', 0.0056164781116334606)","('string', 0.01927104231236801)","('sockets', 0.004291095767909392)","('c#', 0.004557159895014512)","('ruby', 0.015476901385218655)","('user-interface', 0.022075564196465346)","('pylons', 0.005473247394405176)",2010
17,"('macos', 0.005702003980905528)","('python-imaging-library', 0.003460436848103763)","('multithreading', 0.0018925455387245147)","('sqlite', 0.006713771716042925)","('datetime', 0.004470853249383556)","('php', 0.015462520671302282)","('csv', 0.004055657436956826)","('pyqt', 0.0038442690120136817)","('apache', 0.015368389074348197)","('algorithm', 0.019197557143982448)","('arrays', 0.005374525914001612)",2010
18,"('python-3.x', 0.005591460645645812)","('http', 0.003100236227680798)","('string', 0.001379657680748734)","('java', 0.006360262240552207)","('pylons', 0.0043587209828738)","('qt', 0.015358798177391969)","('json', 0.003726157083890127)","('multithreading', 0.003407685737302213)","('twisted', 0.011761510085178844)","('sockets', 0.018958573039708652)","('scipy', 0.004972750455418423)",2010
19,"('sqlalchemy', 0.0052387183099685455)","('php', 0.003056481106056983)","('csv', 0.0009892173345774366)","('xml', 0.0056627586262507495)","('json', 0.004127053528148282)","('performance', 0.014932637254728005)","('function', 0.003256274561905942)","('php', 0.0033210549874032394)","('html', 0.01148943447927668)","('macos', 0.018766102987527268)","('unicode', 0.004779104398212847)",2010
20,"('php', 0.004989126434601335)","('sqlite', 0.0030248872895313563)","('function', 0.0009766513159614144)","('json', 0.005415443607112436)","('csv', 0.003085312892006864)","('scipy', 0.014496220435203308)","('datetime', 0.002630640178016672)","('django', 0.003161675884376554)","('pyqt4', 0.01037703674228736)","('sqlalchemy', 0.018637610158539528)","('oop', 0.003707626109928454)",2010
