,Year,Topic,SV
0,2010,Computations Tools,7.0
1,2011,Computations Tools,5.0
2,2012,Computations Tools,3.0
3,2013,Computations Tools,4.0
4,2014,Computations Tools,4.0
5,2015,Computations Tools,6.0
6,2016,Computations Tools,6.0
7,2017,Computations Tools,6.0
8,2018,Computations Tools,5.0
9,2019,Computations Tools,7.0
10,2010,Data Transformation,7.0
11,2011,Data Transformation,7.0
12,2012,Data Transformation,7.0
13,2013,Data Transformation,7.0
14,2014,Data Transformation,5.0
15,2015,Data Transformation,4.0
16,2016,Data Transformation,2.0
17,2017,Data Transformation,2.0
18,2018,Data Transformation,2.0
19,2019,Data Transformation,2.0
20,2010,Deep Learning,7.0
21,2011,Deep Learning,7.0
22,2012,Deep Learning,7.0
23,2013,Deep Learning,7.0
24,2014,Deep Learning,7.0
25,2015,Deep Learning,7.0
26,2016,Deep Learning,7.0
27,2017,Deep Learning,7.0
28,2018,Deep Learning,6.0
29,2019,Deep Learning,6.0
30,2010,Django Framework,2.0
31,2011,Django Framework,2.0
32,2012,Django Framework,2.0
33,2013,Django Framework,2.0
34,2014,Django Framework,2.0
35,2015,Django Framework,2.0
36,2016,Django Framework,3.0
37,2017,Django Framework,4.0
38,2018,Django Framework,4.0
39,2019,Django Framework,4.0
40,2010,GUI Tools,6.0
41,2011,GUI Tools,7.0
42,2012,GUI Tools,7.0
43,2013,GUI Tools,7.0
44,2014,GUI Tools,7.0
45,2015,GUI Tools,7.0
46,2016,GUI Tools,7.0
47,2017,GUI Tools,7.0
48,2018,GUI Tools,7.0
49,2019,GUI Tools,7.0
50,2010,Generic Python,1.0
51,2011,Generic Python,1.0
52,2012,Generic Python,1.0
53,2013,Generic Python,1.0
54,2014,Generic Python,1.0
55,2015,Generic Python,1.0
56,2016,Generic Python,1.0
57,2017,Generic Python,1.0
58,2018,Generic Python,1.0
59,2019,Generic Python,1.0
60,2010,Machine Learning,7.0
61,2011,Machine Learning,7.0
62,2012,Machine Learning,7.0
63,2013,Machine Learning,7.0
64,2014,Machine Learning,7.0
65,2015,Machine Learning,7.0
66,2016,Machine Learning,7.0
67,2017,Machine Learning,7.0
68,2018,Machine Learning,7.0
69,2019,Machine Learning,5.0
70,2010,Python Data Types,4.0
71,2011,Python Data Types,4.0
72,2012,Python Data Types,5.0
73,2013,Python Data Types,6.0
74,2014,Python Data Types,7.0
75,2015,Python Data Types,7.0
76,2016,Python Data Types,7.0
77,2017,Python Data Types,7.0
78,2018,Python Data Types,7.0
79,2019,Python Data Types,7.0
80,2010,Python Version 2.7,7.0
81,2011,Python Version 2.7,7.0
82,2012,Python Version 2.7,6.0
83,2013,Python Version 2.7,3.0
84,2014,Python Version 2.7,3.0
85,2015,Python Version 2.7,3.0
86,2016,Python Version 2.7,5.0
87,2017,Python Version 2.7,5.0
88,2018,Python Version 2.7,7.0
89,2019,Python Version 2.7,7.0
90,2010,Python Version 3,7.0
91,2011,Python Version 3,7.0
92,2012,Python Version 3,7.0
93,2013,Python Version 3,5.0
94,2014,Python Version 3,6.0
95,2015,Python Version 3,5.0
96,2016,Python Version 3,4.0
97,2017,Python Version 3,3.0
98,2018,Python Version 3,3.0
99,2019,Python Version 3,3.0
100,2010,Web App,3.0
101,2011,Web App,3.0
102,2012,Web App,4.0
103,2013,Web App,7.0
104,2014,Web App,7.0
105,2015,Web App,7.0
106,2016,Web App,7.0
107,2017,Web App,7.0
108,2018,Web App,7.0
109,2019,Web App,7.0
110,2010,Web Scraping,5.0
111,2011,Web Scraping,6.0
112,2012,Web Scraping,7.0
113,2013,Web Scraping,7.0
114,2014,Web Scraping,7.0
115,2015,Web Scraping,7.0
116,2016,Web Scraping,7.0
117,2017,Web Scraping,7.0
118,2018,Web Scraping,7.0
119,2019,Web Scraping,7.0
