,Year,Term,Rank
16,2016,dataframe,8.0
17,2017,dataframe,6.0
18,2018,dataframe,5.0
19,2019,dataframe,5.0
20,2010,dictionary,9.0
21,2011,dictionary,9.0
22,2012,dictionary,10.0
23,2013,dictionary,9.0
24,2014,dictionary,8.0
25,2015,dictionary,8.0
26,2016,dictionary,9.0
27,2017,dictionary,10.0
28,2018,dictionary,10.0
30,2010,django,1.0
31,2011,django,1.0
32,2012,django,1.0
33,2013,django,1.0
34,2014,django,1.0
35,2015,django,1.0
36,2016,django,2.0
37,2017,django,3.0
38,2018,django,3.0
39,2019,django,3.0
55,2015,flask,10.0
59,2019,flask,10.0
60,2010,google-app-engine,2.0
61,2011,google-app-engine,2.0
62,2012,google-app-engine,4.0
90,2010,list,3.0
91,2011,list,3.0
92,2012,list,3.0
93,2013,list,5.0
94,2014,list,6.0
95,2015,list,6.0
96,2016,list,7.0
97,2017,list,8.0
98,2018,list,9.0
99,2019,list,8.0
101,2011,matplotlib,8.0
102,2012,matplotlib,8.0
103,2013,matplotlib,6.0
104,2014,matplotlib,7.0
105,2015,matplotlib,7.0
106,2016,matplotlib,6.0
107,2017,matplotlib,7.0
108,2018,matplotlib,8.0
109,2019,matplotlib,7.0
110,2010,numpy,7.0
111,2011,numpy,4.0
112,2012,numpy,2.0
113,2013,numpy,3.0
114,2014,numpy,3.0
115,2015,numpy,5.0
116,2016,numpy,5.0
117,2017,numpy,5.0
118,2018,numpy,4.0
119,2019,numpy,4.0
123,2013,pandas,7.0
124,2014,pandas,4.0
125,2015,pandas,3.0
126,2016,pandas,1.0
127,2017,pandas,2.0
128,2018,pandas,2.0
129,2019,pandas,2.0
132,2012,python-2.7,5.0
133,2013,python-2.7,2.0
134,2014,python-2.7,2.0
135,2015,python-2.7,2.0
136,2016,python-2.7,4.0
137,2017,python-2.7,4.0
138,2018,python-2.7,7.0
141,2011,python-3.x,7.0
142,2012,python-3.x,6.0
143,2013,python-3.x,4.0
144,2014,python-3.x,5.0
145,2015,python-3.x,4.0
146,2016,python-3.x,3.0
147,2017,python-3.x,1.0
148,2018,python-3.x,1.0
149,2019,python-3.x,1.0
150,2010,regex,4.0
151,2011,regex,5.0
152,2012,regex,7.0
153,2013,regex,8.0
154,2014,regex,9.0
155,2015,regex,9.0
160,2010,string,5.0
161,2011,string,6.0
162,2012,string,9.0
163,2013,string,10.0
164,2014,string,10.0
177,2017,tensorflow,9.0
178,2018,tensorflow,6.0
179,2019,tensorflow,6.0
180,2010,windows,6.0
181,2011,windows,10.0
